epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.919,0.61114,6.60789,1.25019,0.20731,0.14596,0.06397,0.05932,0.38354,3.04322,1.0163,5.73054e-05,5.73054e-05,5.73054e-05
2,524.262,0.40371,5.15051,0.99402,0.25655,0.28801,0.18494,0.17712,0.30665,2.567,0.93773,0.000110856,0.000110856,0.000110856
3,781.298,0.35926,4.00047,0.95733,0.60074,0.31084,0.33702,0.32325,0.29714,2.24067,0.92733,0.000160622,0.000160622,0.000160622
4,1037.42,0.33541,3.07697,0.9334,0.64219,0.41594,0.48911,0.47622,0.26801,1.89185,0.90266,0.000154972,0.000154972,0.000154972
5,1293.69,0.3156,2.36591,0.91713,0.71883,0.55214,0.64139,0.62828,0.25174,1.5109,0.90994,0.000149296,0.000149296,0.000149296
6,1548.98,0.30473,1.81922,0.90671,0.76855,0.65766,0.74015,0.72037,0.24939,1.29436,0.89241,0.00014362,0.00014362,0.00014362
7,1804.77,0.29415,1.45502,0.90224,0.74777,0.72573,0.79209,0.77997,0.2367,1.07391,0.88481,0.000137944,0.000137944,0.000137944
8,2060.94,0.28224,1.23647,0.88499,0.81733,0.74082,0.81265,0.79619,0.24949,1.04246,0.89208,0.000132268,0.000132268,0.000132268
9,2316.89,0.27952,1.0382,0.88443,0.82138,0.78511,0.86216,0.84784,0.22843,0.85595,0.87434,0.000126592,0.000126592,0.000126592
10,2573.22,0.27156,0.90289,0.87913,0.82072,0.79459,0.86578,0.85227,0.22732,0.82446,0.88161,0.000120916,0.000120916,0.000120916
11,2828.9,0.26651,0.78155,0.87259,0.86625,0.82566,0.89387,0.88122,0.22105,0.75763,0.87633,0.00011524,0.00011524,0.00011524
12,3087.37,0.26163,0.68659,0.87075,0.85747,0.85564,0.90431,0.89002,0.21826,0.709,0.87332,0.000109564,0.000109564,0.000109564
13,3343.7,0.25565,0.61963,0.86338,0.87126,0.83694,0.89887,0.88383,0.2209,0.70877,0.87556,0.000103888,0.000103888,0.000103888
14,3601.43,0.25148,0.55572,0.85945,0.879,0.84893,0.90422,0.88973,0.21821,0.65894,0.87472,9.8212e-05,9.8212e-05,9.8212e-05
15,3857.89,0.25064,0.50734,0.85733,0.88352,0.89507,0.91451,0.90149,0.2171,0.61395,0.87596,9.2536e-05,9.2536e-05,9.2536e-05
16,4114.2,0.24707,0.47183,0.85693,0.89909,0.8792,0.9156,0.90369,0.20855,0.57037,0.87452,8.686e-05,8.686e-05,8.686e-05
17,4371.04,0.24411,0.43567,0.84773,0.90552,0.88068,0.92435,0.91348,0.20681,0.56132,0.87034,8.1184e-05,8.1184e-05,8.1184e-05
18,4627.67,0.24166,0.41002,0.84809,0.90665,0.88621,0.91808,0.90731,0.19949,0.55332,0.86488,7.5508e-05,7.5508e-05,7.5508e-05
19,4884.25,0.23912,0.387,0.84129,0.90143,0.8954,0.92274,0.91262,0.19834,0.57749,0.8645,6.9832e-05,6.9832e-05,6.9832e-05
20,5140.11,0.2367,0.3599,0.83874,0.92505,0.88486,0.92015,0.91056,0.19816,0.53646,0.86049,6.4156e-05,6.4156e-05,6.4156e-05
21,5395.23,0.2314,0.34064,0.8331,0.90643,0.89856,0.91323,0.90385,0.1935,0.56688,0.8542,5.848e-05,5.848e-05,5.848e-05
22,5649.92,0.22902,0.32509,0.83132,0.93393,0.88921,0.92574,0.91412,0.19614,0.534,0.86055,5.2804e-05,5.2804e-05,5.2804e-05
23,5903.67,0.23046,0.30546,0.82596,0.91468,0.91904,0.93229,0.92259,0.19474,0.50499,0.85482,4.7128e-05,4.7128e-05,4.7128e-05
24,6159.31,0.22357,0.28922,0.82415,0.9264,0.9013,0.92173,0.91198,0.18885,0.50275,0.8548,4.1452e-05,4.1452e-05,4.1452e-05
25,6413.41,0.22211,0.27917,0.82491,0.90266,0.90712,0.92443,0.91506,0.18608,0.52473,0.85261,3.5776e-05,3.5776e-05,3.5776e-05
26,6667.55,0.21672,0.2666,0.82105,0.9133,0.90092,0.92728,0.91699,0.18913,0.51329,0.85802,3.01e-05,3.01e-05,3.01e-05
27,6922.52,0.21465,0.25601,0.81728,0.92165,0.90699,0.9287,0.91906,0.19003,0.50621,0.85659,2.4424e-05,2.4424e-05,2.4424e-05
28,7176.28,0.21669,0.24859,0.81207,0.9137,0.91502,0.92956,0.91994,0.18757,0.49167,0.85299,1.8748e-05,1.8748e-05,1.8748e-05
29,7430.41,0.21331,0.24266,0.81565,0.92945,0.906,0.92826,0.91871,0.18616,0.4906,0.85196,1.3072e-05,1.3072e-05,1.3072e-05
30,7684.37,0.20992,0.23497,0.81217,0.92298,0.90921,0.92661,0.91692,0.18434,0.50217,0.84994,7.396e-06,7.396e-06,7.396e-06
