epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.551,0.20975,0.25616,0.79159,0.85705,0.77757,0.83308,0.80851,0.2599,0.90776,0.91252,0.000166195,0.000166195,0.000166195
2,94.5316,0.23171,0.31892,0.79803,0.77608,0.72186,0.75872,0.74229,0.26082,1.27691,0.90712,0.000310892,0.000310892,0.000310892
3,141.067,0.23591,0.39854,0.82123,0.78047,0.72957,0.79896,0.77838,0.28717,1.06862,0.93538,0.00043359,0.00043359,0.00043359
4,187.475,0.2445,0.40751,0.81671,0.79861,0.77516,0.833,0.80415,0.28253,0.88606,0.93973,0.000401,0.000401,0.000401
5,233.8,0.2441,0.36354,0.80859,0.80298,0.74744,0.80517,0.78265,0.275,0.98471,0.92079,0.000368,0.000368,0.000368
6,280.104,0.24696,0.34121,0.80707,0.85006,0.7561,0.82964,0.80475,0.28934,0.93751,0.9199,0.000335,0.000335,0.000335
7,326.511,0.24637,0.34051,0.80824,0.80212,0.76044,0.82614,0.79587,0.28725,0.9072,0.96967,0.000302,0.000302,0.000302
8,372.596,0.2303,0.30436,0.80031,0.84285,0.81815,0.84696,0.82695,0.26422,0.80914,0.93569,0.000269,0.000269,0.000269
9,419.361,0.229,0.27345,0.79267,0.87211,0.78028,0.84033,0.82185,0.2527,0.82187,0.92607,0.000236,0.000236,0.000236
10,465.946,0.22668,0.25339,0.7896,0.84037,0.78852,0.83177,0.81589,0.26656,0.87775,0.93561,0.000203,0.000203,0.000203
11,512.378,0.21003,0.23443,0.78609,0.80839,0.81129,0.83348,0.81202,0.26365,0.90106,0.94069,0.00017,0.00017,0.00017
12,559.169,0.21628,0.23505,0.77876,0.81195,0.83331,0.83918,0.82129,0.26044,0.80291,0.93479,0.000137,0.000137,0.000137
13,605.611,0.20938,0.21853,0.77752,0.88408,0.79031,0.85085,0.83451,0.2531,0.83727,0.93195,0.000104,0.000104,0.000104
14,652.415,0.20545,0.20064,0.76687,0.84531,0.82647,0.85284,0.83504,0.24643,0.8191,0.92447,7.1e-05,7.1e-05,7.1e-05
15,698.962,0.20038,0.19888,0.76876,0.87356,0.8085,0.85055,0.8342,0.23912,0.81228,0.91479,3.8e-05,3.8e-05,3.8e-05
