epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,922.478,1.4888,0.77207,0.78518,0.80219,0.84375,0.87588,0.50765,1.58803,0.90542,0.89424,0.000990365,0.000990365,0.000990365
43,944.046,1.45362,0.75732,0.76987,0.8515,0.8075,0.84536,0.46272,1.67793,0.88758,0.97412,0.000973861,0.000973861,0.000973861
44,965.896,1.48961,0.75078,0.76335,0.8213,0.90625,0.86783,0.46993,1.69021,0.88759,0.95129,0.000957358,0.000957358,0.000957358
45,987.506,1.51592,0.74286,0.76443,0.84462,0.8125,0.89483,0.48751,1.69466,0.85388,0.93724,0.000940855,0.000940855,0.000940855
46,1009.62,1.53165,0.74833,0.79383,0.76175,0.9375,0.88222,0.50793,1.60316,0.81541,0.7865,0.000924352,0.000924352,0.000924352
47,1031.41,1.58936,0.76629,0.77072,0.75264,0.89544,0.90824,0.48218,1.5953,0.8176,0.80428,0.000907848,0.000907848,0.000907848
48,1053.01,1.51905,0.71249,0.74298,0.83026,0.85327,0.84462,0.48189,1.64498,1.03858,0.81938,0.000891345,0.000891345,0.000891345
49,1074.77,1.49675,0.70042,0.74013,0.80811,0.78076,0.89705,0.49309,1.65625,0.93744,0.868,0.000874842,0.000874842,0.000874842
50,1096.34,1.49575,0.72667,0.76541,0.90249,0.87472,0.91419,0.49025,1.61454,0.82639,0.81921,0.000858338,0.000858338,0.000858338
51,1118.19,1.42318,0.68049,0.7638,0.86583,0.91574,0.94272,0.53457,1.65099,0.73653,0.78969,0.000841835,0.000841835,0.000841835
52,1139.9,1.49693,0.70102,0.76361,0.8939,0.86518,0.91698,0.49348,1.665,0.87175,0.84216,0.000825332,0.000825332,0.000825332
53,1161.86,1.52779,0.6664,0.75027,0.80131,0.84375,0.87656,0.49711,1.62405,0.81977,0.78033,0.000808828,0.000808828,0.000808828
54,1183.37,1.43379,0.64081,0.72972,0.82453,0.93106,0.93129,0.51795,1.59656,0.81725,0.80932,0.000792325,0.000792325,0.000792325
55,1204.81,1.45551,0.66083,0.73139,0.84137,0.875,0.84776,0.49183,1.51312,0.81384,0.8394,0.000775822,0.000775822,0.000775822
56,1226.41,1.46619,0.62548,0.70839,0.96482,0.87749,0.9629,0.55308,1.59635,0.68492,0.78777,0.000759318,0.000759318,0.000759318
57,1248.32,1.42169,0.62921,0.7094,0.82874,0.9375,0.89615,0.51237,1.63873,0.80353,0.8267,0.000742815,0.000742815,0.000742815
58,1269.7,1.48431,0.65387,0.71439,0.87976,0.84375,0.9153,0.52419,1.68502,0.77601,0.80832,0.000726312,0.000726312,0.000726312
59,1291.55,1.48848,0.63686,0.70158,0.83651,0.90625,0.90198,0.51589,1.65201,0.8191,0.84912,0.000709809,0.000709809,0.000709809
60,1313.34,1.43979,0.62202,0.69726,0.84189,0.93083,0.92141,0.50286,1.66838,0.87518,0.82702,0.000693305,0.000693305,0.000693305
61,1335.38,1.42228,0.62392,0.73861,0.86293,0.89951,0.9008,0.50084,1.62788,0.81173,0.8604,0.000676802,0.000676802,0.000676802
62,1357.31,1.38992,0.60357,0.70426,0.85771,0.90625,0.87031,0.50186,1.62173,0.82523,0.81334,0.000660299,0.000660299,0.000660299
63,1378.9,1.41521,0.59813,0.69907,0.84636,0.9375,0.92443,0.52339,1.67063,0.82804,0.88162,0.000643795,0.000643795,0.000643795
64,1400.71,1.42504,0.60541,0.70493,0.87125,0.92517,0.91295,0.51165,1.65923,0.80078,0.82557,0.000627292,0.000627292,0.000627292
65,1422.18,1.41785,0.5774,0.6849,0.9162,0.8479,0.92252,0.52534,1.66229,0.8277,0.82357,0.000610789,0.000610789,0.000610789
66,1443.96,1.37107,0.56101,0.70112,0.84385,0.82798,0.85343,0.49025,1.63052,0.92525,0.92149,0.000594286,0.000594286,0.000594286
67,1466.48,1.4103,0.57524,0.6839,0.87444,0.87477,0.91613,0.53189,1.69043,0.76236,0.90653,0.000577782,0.000577782,0.000577782
68,1488.45,1.4229,0.56389,0.71184,0.80273,0.9375,0.8921,0.51496,1.68917,0.71938,0.87343,0.000561279,0.000561279,0.000561279
69,1510.99,1.41122,0.56465,0.68329,0.901,0.93397,0.92192,0.53381,1.66066,0.65258,0.8816,0.000544776,0.000544776,0.000544776
70,1532.85,1.40884,0.57083,0.70279,0.87516,0.83539,0.88984,0.52633,1.62825,0.77336,0.88785,0.000528272,0.000528272,0.000528272
71,1554.8,1.39584,0.55803,0.68152,0.96305,0.87442,0.93431,0.53425,1.60954,0.80702,0.74976,0.000511769,0.000511769,0.000511769
72,1576.78,1.43259,0.56232,0.65052,0.93189,0.86189,0.91692,0.5188,1.61584,0.84806,0.75776,0.000495266,0.000495266,0.000495266
73,1598.66,1.4162,0.56796,0.67242,0.88536,0.88847,0.91399,0.50637,1.66727,0.8599,0.84671,0.000478762,0.000478762,0.000478762
74,1620.44,1.42426,0.54342,0.64939,0.83243,0.85398,0.85287,0.47268,1.6512,0.91757,0.89545,0.000462259,0.000462259,0.000462259
75,1643.72,1.41586,0.52281,0.64897,0.87315,0.85771,0.8809,0.52245,1.60689,0.7756,0.80542,0.000445756,0.000445756,0.000445756
76,1665.86,1.39894,0.51879,0.66879,0.83676,0.9289,0.89608,0.5129,1.58719,0.80366,0.81632,0.000429253,0.000429253,0.000429253
77,1688.96,1.37193,0.51011,0.66348,0.85491,0.89929,0.88628,0.52528,1.62006,0.82097,0.86327,0.000412749,0.000412749,0.000412749
78,1711.15,1.40973,0.54795,0.66956,0.84758,0.93204,0.89427,0.51693,1.60962,0.78296,0.75932,0.000396246,0.000396246,0.000396246
79,1733.12,1.352,0.5073,0.66454,0.82973,0.92986,0.8983,0.52443,1.62768,0.77431,0.78696,0.000379743,0.000379743,0.000379743
80,1755.25,1.28895,0.50223,0.64325,0.82003,0.93073,0.90331,0.53197,1.64277,0.74663,0.86023,0.000363239,0.000363239,0.000363239
81,1777.66,1.34178,0.49103,0.64606,0.87307,0.875,0.89376,0.53471,1.60153,0.75275,0.8019,0.000346736,0.000346736,0.000346736
82,1799.81,1.35416,0.50458,0.63183,0.91838,0.83922,0.89399,0.52485,1.59728,0.79108,0.81737,0.000330233,0.000330233,0.000330233
83,1822.14,1.37578,0.49411,0.63261,0.86081,0.875,0.89402,0.51569,1.62629,0.86786,0.81256,0.000313729,0.000313729,0.000313729
84,1844.28,1.35973,0.50706,0.63334,0.88663,0.80087,0.88435,0.50154,1.59606,0.83226,0.81374,0.000297226,0.000297226,0.000297226
85,1866.86,1.28625,0.48741,0.64386,0.71986,0.9449,0.86594,0.49875,1.57842,0.80367,0.78919,0.000280723,0.000280723,0.000280723
86,1889.02,1.39322,0.49648,0.62485,0.86186,0.875,0.89329,0.51613,1.5991,0.7363,0.81476,0.00026422,0.00026422,0.00026422
87,1911.17,1.30525,0.47528,0.65472,0.79831,0.89761,0.87846,0.51585,1.58178,0.76524,0.83924,0.000247716,0.000247716,0.000247716
88,1933.25,1.32441,0.48623,0.63434,0.84479,0.90625,0.9131,0.53462,1.60861,0.76483,0.83204,0.000231213,0.000231213,0.000231213
89,1955.44,1.39602,0.47899,0.63217,0.86735,0.89032,0.91294,0.53002,1.59797,0.78305,0.78968,0.00021471,0.00021471,0.00021471
